prop_id,study,question,column,text,short,truth,keep,congenial,truth_source,note
aca_illegal,alumni;staff,aca1,illegal,Provides coverage for people who are currently in the country illegally,Covers illegal immigrants,FALSE,TRUE,R,ACA sec. 1312(f)(3) bars people not lawfully present from exchange coverage and credits,
aca_single_payer,alumni;staff,aca1,single.payer,"Replaces private health insurance with a ""single payer system""",Single payer,FALSE,TRUE,R,ACA builds on private insurance through exchanges; no single-payer provision,
aca_payroll_tax,alumni;staff,aca1,upper.class,Increases the Medicare payroll tax for upper-income Americans,Raises payroll tax on high earners,TRUE,TRUE,none,"ACA sec. 9015: additional 0.9% Hospital Insurance tax on wages above $200,000 ($250,000 joint)",
aca_mammograms,alumni;staff,aca1,mammograms,Does not reimburse routine mammograms for women younger than 50,No mammograms under 50,FALSE,TRUE,R,"ACA sec. 2713 requires coverage without cost sharing of HRSA-supported screenings; the 2009 USPSTF update was set aside for coverage, so screening from age 40 is covered",
aca_death_panel,alumni;staff,aca2,death.panel,Allows a government panel to make decisions about end-of-life care for people on Medicare,Death panels,FALSE,TRUE,R,No such panel in the law; PolitiFact 2009 Lie of the Year; Nyhan (2010),
aca_public_option,alumni;staff,aca2,medicare,"Replaces Medicare with a ""public option""",Public option replaces Medicare,FALSE,TRUE,none,"The public option was dropped from the enacted law, and it would not have replaced Medicare",
aca_provider_payments,alumni;staff,aca2,future.increase,Limits future increases in payments to Medicare providers,Limits provider payments,TRUE,TRUE,D,ACA sec. 3401 productivity adjustments to Medicare provider payment updates (CBO 2010),
aca_cuts_benefits,alumni;staff,aca2,cuts.benefits,Cuts benefits to existing Medicare patients,Cuts Medicare benefits,FALSE,TRUE,R,"Guaranteed Medicare benefits are unchanged; lower Medicare Advantage payments could trim plans' extra benefits, which makes this the most debatable of the kept propositions",
m_aca_illegal,mturk_march,aca1,rg_s_aca_1,Provides coverage for people who are currently in the country illegally,ACA covers illegal immigrants,FALSE,TRUE,R,ACA sec. 1312(f)(3),
m_aca_single_payer,mturk_march,aca1,rg_s_aca_2,"Replaces private health insurance with a ""single payer system""",ACA is single payer,FALSE,TRUE,R,No single-payer provision,
